TimeStep,Price,Basic_PnL,Enhanced_PnL,OBI,PriceChange
376,67.45,-5.85624,6.32128,0.369506,-0.00406649
377,67.5876,-5.85624,6.32128,0.473233,0.00204064
378,67.4855,-5.85624,6.32128,0.386574,-0.00151132
379,68.2009,-10.9483,0.228559,0.516127,0.010601
380,67.6524,-10.9483,0.228559,0.415674,-0.00804194
381,68.5289,-10.1636,1.20827,0.555409,0.0129551
382,68.3373,-10.1636,1.20827,0.460962,-0.00279462
383,69.0114,-10.1636,1.20827,0.547124,0.00986337
384,68.3035,-10.1636,1.20827,0.449279,-0.0102568
385,68.1022,-10.1636,1.20827,0.339141,-0.00294803
386,68.7732,-10.1636,1.20827,0.498983,0.00985255
387,68.2513,-10.1636,1.20827,0.360657,-0.00758842
388,68.1747,-10.1636,1.20827,0.274958,-0.00112259
389,67.7538,-7.09007,3.12529,0.244587,-0.00617354
390,68.92,-7.09007,3.12529,0.421468,0.0172128
391,68.7842,-7.09007,3.12529,0.364764,-0.00197128
392,69.0976,-7.09007,3.12529,0.491237,0.0045568
393,69.278,6.30042,18.5789,0.617216,0.00261045
394,69.0651,7.44267,20.7683,0.503388,-0.00307317
395,69.108,7.44267,20.7683,0.559874,0.000621087
396,67.7693,7.44267,20.7683,0.471961,-0.0193711
397,68.1692,7.44267,20.7683,0.629084,0.00590152
398,66.7204,7.44267,20.7683,0.446204,-0.0212529
399,65.3741,7.44267,20.7683,0.420838,-0.0201781
400,64.8906,-17.0266,-5.03052,0.394353,-0.00739688
401,63.7455,-17.0266,-5.03052,0.377549,-0.0176464
402,65.5321,-17.0266,-5.03052,0.479522,0.0280267
403,66.138,-17.0266,-5.03052,0.520057,0.00924729
404,65.7903,-6.50302,6.27323,0.38775,-0.00525853
405,65.5981,-13.192,-1.28687,0.350545,-0.00292125
406,64.1821,-13.192,-1.28687,0.299105,-0.0215852
407,63.8157,-13.192,-1.28687,0.271669,-0.0057096
408,64.5719,-25.0995,-14.0567,0.421027,0.0118497
409,64.1548,-25.0995,-14.0567,0.349358,-0.00645908
410,65.3886,-25.0995,-14.0567,0.486197,0.0192315
411,66.2065,-25.0995,-14.0567,0.583359,0.0125083
412,66.1456,-25.0995,-14.0567,0.488686,-0.000920208
413,66.37,-25.0995,-14.0567,0.582783,0.00339395
414,67.3996,-25.0995,-14.0567,0.654753,0.0155126
415,65.6299,-25.0995,-14.0567,0.560934,-0.0262566
416,63.1426,-25.0995,-14.0567,0.42948,-0.0378996
417,63.3994,-29.881,-17.4217,0.588774,0.00406746
418,62.8138,-29.881,-17.4217,0.503801,-0.00923678
419,62.9909,-29.881,-17.4217,0.630069,0.00281951
420,65.0209,-29.881,-17.4217,0.641781,0.0322264
421,67.1259,-29.881,-17.4217,0.711313,0.0323744
422,66.3428,-29.881,-17.4217,0.589848,-0.0116661
423,66.2489,-29.881,-17.4217,0.439208,-0.00141534
424,67.6231,-5.1105,7.41689,0.536795,0.0207425
425,66.4917,-5.1105,7.41689,0.510633,-0.016731
426,66.249,-5.1105,7.41689,0.404837,-0.00364988
427,66.7868,-5.1105,7.41689,0.521986,0.00811861
428,66.9286,-5.1105,7.41689,0.606832,0.00212291
429,68.1073,-5.1105,7.41689,0.661206,0.0176113
430,66.6829,-5.1105,7.41689,0.530594,-0.020915
431,66.4124,-1.29492,12.3246,0.404192,-0.0040552
432,65.404,-4.09904,7.83991,0.274683,-0.0151852
433,65.757,-15.3024,-5.20568,0.362197,0.00539759
434,66.9777,-15.3024,-5.20568,0.464157,0.0185636
435,67.6756,15.4621,28.5194,0.582661,0.010421
436,68.7475,23.2498,38.066,0.632019,0.0158383
437,70.1559,34.0684,49.581,0.704541,0.0204859
438,69.9164,46.8337,63.2955,0.473957,-0.00341382
439,70.4357,46.8337,63.2955,0.56886,0.00742763
440,72.0693,49.1522,64.0941,0.681944,0.0231925
441,71.8798,60.6572,76.7559,0.534234,-0.00262818
442,71.3077,60.6572,76.7559,0.486681,-0.00796026
443,74.1151,50.1477,64.5589,0.579939,0.0393705
444,72.5859,50.1477,64.5589,0.481027,-0.0206322
445,71.8695,59.0255,73.3768,0.374572,-0.00986969
446,71.0969,53.2143,66.3437,0.337515,-0.01075
447,71.0141,53.2143,66.3437,0.382309,-0.00116459
448,70.9057,53.2143,66.3437,0.262285,-0.00152688
449,70.4413,44.4498,56.1679,0.253974,-0.00654926
450,69.7101,44.4498,56.1679,0.224794,-0.0103799
451,69.8945,44.4498,56.1679,0.401899,0.00264491
452,70.6016,44.4498,56.1679,0.511901,0.0101156
453,69.6836,44.4498,56.1679,0.454319,-0.0130014
454,69.8862,44.4498,56.1679,0.570425,0.00290741
455,69.9195,44.1552,60.2286,0.601334,0.000475467
456,68.466,44.5442,61.0071,0.497173,-0.0207872
457,66.9313,24.9968,40.2951,0.390776,-0.0224157
458,66.7615,24.9968,40.2951,0.333373,-0.00253758
459,67.2131,24.9968,40.2951,0.408931,0.00676414
460,67.796,24.9968,40.2951,0.525313,0.00867289
461,67.7721,24.9968,40.2951,0.344635,-0.00035259
462,67.0238,24.9968,40.2951,0.284702,-0.0110405
463,67.9236,11.9272,24.6628,0.357989,0.0134237
464,67.0575,11.9272,24.6628,0.322831,-0.012751
465,66.1118,11.9272,24.6628,0.330896,-0.014103
466,66.3295,11.9272,24.6628,0.43402,0.00329418
467,66.024,11.9272,24.6628,0.379171,-0.00460695
468,66.5845,11.9272,24.6628,0.481823,0.0084897
469,66.7913,17.4335,32.8131,0.598752,0.00310612
470,67.6644,17.4335,32.8131,0.725227,0.0130722
471,68.4082,27.2429,45.5835,0.783432,0.010992
472,67.5165,27.2429,45.5835,0.541524,-0.0130345
473,66.0825,27.2429,45.5835,0.465895,-0.0212394
474,65.1927,27.2429,45.5835,0.432125,-0.0134654
475,65.8442,-0.451046,14.7432,0.520442,0.00999344
476,66.4964,-0.451046,14.7432,0.621002,0.00990595
477,66.3214,-0.451046,14.7432,0.508548,-0.00263198
478,66.851,9.61754,25.7104,0.602967,0.00798505
479,66.6269,9.61754,25.7104,0.478704,-0.00335262
480,66.5638,9.61754,25.7104,0.429525,-0.000946225
481,67.0447,9.61754,25.7104,0.533767,0.00722473
482,67.7739,9.61754,25.7104,0.62427,0.0108767
483,67.2411,9.61754,25.7104,0.499711,-0.00786245
484,66.8256,9.61754,25.7104,0.396164,-0.00617824
485,67.4172,9.61754,25.7104,0.480958,0.00885262
486,67.0996,9.61754,25.7104,0.363644,-0.00471079
487,67.2286,9.61754,25.7104,0.51847,0.00192144
488,69.4631,9.61754,25.7104,0.561826,0.0332379
489,69.4129,9.61754,25.7104,0.422375,-0.000723035
490,70.4048,9.61754,25.7104,0.542359,0.0142903
491,69.7414,60.3516,76.9275,0.41874,-0.00942293
492,70.327,60.3516,76.9275,0.511647,0.00839638
493,70.0004,59.741,75.9276,0.423969,-0.00464301
494,69.7828,59.741,75.9276,0.383563,-0.00310915
495,69.9443,59.741,75.9276,0.526138,0.00231426
496,69.9597,59.741,75.9276,0.582267,0.00022072
497,68.7579,59.741,75.9276,0.459949,-0.0171794
498,66.712,39.2682,54.8831,0.37402,-0.0297549
499,65.1821,20.7653,35.3631,0.365259,-0.0229334
500,64.6909,5.36595,19.888,0.31237,-0.00753502
501,65.2944,5.36595,19.888,0.403141,0.00932967
502,66.3497,5.36595,19.888,0.502121,0.0161622
503,67.4922,29.1006,45.5859,0.576854,0.0172184
504,67.0357,29.1006,45.5859,0.462065,-0.00676278
505,66.4864,29.1006,45.5859,0.404842,-0.00819558
506,65.206,20.5667,35.7584,0.328699,-0.019258
507,65.6279,20.5667,35.7584,0.483965,0.00647116
508,66.487,20.5667,35.7584,0.598176,0.0130894
509,66.6707,31.4633,49.4829,0.689417,0.00276395
510,67.5148,31.4633,49.4829,0.753927,0.0126607
511,67.7792,41.8419,61.9849,0.720961,0.00391583
512,68.1741,41.8419,61.9849,0.800026,0.00582637
513,70.2212,41.8419,61.9849,0.8476,0.0300267
514,68.7099,41.8419,61.9849,0.663124,-0.0215213
515,69.0281,41.8419,61.9849,0.664751,0.00463113
516,70.5275,41.8419,61.9849,0.693715,0.0217209
517,70.7792,69.0457,88.5619,0.697271,0.00356926
518,71.3255,71.1395,90.7038,0.73143,0.00771842
519,71.6651,71.1395,90.7038,0.785781,0.00476162
520,72.0096,77.411,97.8878,0.806191,0.00480719
521,73.7242,79.538,100.203,0.773463,0.0238099
522,73.2974,79.538,100.203,0.639643,-0.00578928
523,73.4122,79.538,100.203,0.679352,0.00156658
524,73.8664,86.6008,106.378,0.730447,0.00618695
525,73.0948,88.4576,108.543,0.542805,-0.0104452
526,71.603,83.173,102.425,0.434682,-0.0204091
527,70.8585,83.173,102.425,0.323053,-0.0103974
528,71.4858,74.1878,92.1861,0.473244,0.00885253
529,72.3033,74.1878,92.1861,0.573578,0.0114351
530,72.1865,74.1878,92.1861,0.478513,-0.00161481
531,72.2141,74.1878,92.1861,0.583154,0.000381787
532,72.322,85.9155,105.768,0.627726,0.00149455
533,72.064,86.3872,106.498,0.503134,-0.00356717
534,73.9918,86.3872,106.498,0.571852,0.0267508
535,73.3698,86.3872,106.498,0.448608,-0.00840685
536,71.0018,86.5604,105.891,0.356723,-0.032274
537,70.562,86.5604,105.891,0.280642,-0.00619408
538,70.9538,86.5604,105.891,0.408949,0.00555221
539,72.8706,86.5604,105.891,0.549441,0.0270149
540,71.9761,86.5604,105.891,0.406184,-0.0122746
541,72.9458,86.5604,105.891,0.54039,0.0134725
542,73.0173,86.5604,105.891,0.620862,0.000979888
543,72.2478,86.5604,105.891,0.508508,-0.010539
544,73.3253,86.5604,105.891,0.629689,0.0149143
545,75.9011,90.3427,110.736,0.679096,0.0351287
546,74.8524,98.1002,118.738,0.512218,-0.0138178
547,75.3164,94.0226,114.154,0.590204,0.00619872
548,74.7957,94.0226,114.154,0.511706,-0.00691343
549,74.5372,94.0226,114.154,0.397734,-0.00345607
550,74.2203,94.0226,114.154,0.33308,-0.00425095
551,74.3198,94.0226,114.154,0.44111,0.00134003
552,73.2755,95.3948,115.208,0.345787,-0.0140512
553,71.9022,95.3948,115.208,0.319076,-0.018741
554,71.6817,95.3948,115.208,0.267085,-0.00306713
555,71.9674,88.1387,107.459,0.397457,0.00398566
556,72.6291,88.1387,107.459,0.455258,0.00919408
557,72.465,88.1387,107.459,0.339289,-0.00225947
558,72.7446,88.1387,107.459,0.411356,0.00385904
559,71.8182,94.2974,114.233,0.34236,-0.0127351
560,74.1205,94.2974,114.233,0.490993,0.0320574
561,73.0122,94.2974,114.233,0.399971,-0.0149533
562,73.6781,94.2974,114.233,0.516227,0.00912144
563,73.8407,94.2974,114.233,0.620751,0.00220704
564,73.3889,94.2974,114.233,0.509854,-0.00611845
565,73.1733,94.2974,114.233,0.471553,-0.00293809
566,73.7931,93.1749,113.285,0.513351,0.0084704
567,72.3805,93.1749,113.285,0.396747,-0.0191437
568,71.8677,93.1749,113.285,0.366338,-0.00708357
569,70.7337,89.2281,108.887,0.346635,-0.0157802
570,71.3219,89.2281,108.887,0.504209,0.00831616
571,70.7574,91.0047,111.456,0.454291,-0.0079145
572,71.1922,91.0047,111.456,0.541931,0.00614408
573,71.2339,91.0047,111.456,0.638975,0.000586166
574,70.3267,91.0047,111.456,0.502858,-0.0127358
575,70.135,91.0047,111.456,0.388088,-0.00272593
576,70.6554,91.0047,111.456,0.509347,0.00742004
577,71.907,89.0351,109.508,0.5572,0.0177151
578,71.3176,89.0351,109.508,0.426337,-0.00819759
579,69.5945,89.0351,109.508,0.40032,-0.0241599
580,70.02,84.9335,105.102,0.529282,0.00611385
581,70.3061,89.1799,109.888,0.60887,0.00408552
582,69.5581,89.7721,110.705,0.463001,-0.0106393
583,71.1544,89.7721,110.705,0.566559,0.0229488
584,71.6797,89.7721,110.705,0.659867,0.00738299
585,69.6199,91.1557,112.164,0.499934,-0.0287367
586,68.6208,91.1557,112.164,0.375529,-0.0143495
587,68.6224,91.1557,112.164,0.539328,2.24407e-05
588,68.3546,91.1557,112.164,0.406969,-0.0039025
589,69.3992,91.1557,112.164,0.492748,0.0152821
590,70.1953,91.1557,112.164,0.587463,0.011471
591,70.8058,89.5728,110.513,0.627493,0.00869766
592,71.4503,89.5728,110.513,0.680271,0.00910293
593,72.1655,89.5728,110.513,0.75499,0.0100092
594,70.8217,85.6123,106.062,0.578275,-0.0186206
595,70.961,85.6123,106.062,0.5994,0.00196606
596,70.8219,85.6123,106.062,0.460746,-0.00195924
597,70.1043,92.613,114.333,0.379361,-0.0101325
598,70.4947,92.613,114.333,0.529661,0.00556866
599,70.5229,92.613,114.333,0.599367,0.000400251
600,71.462,92.613,114.333,0.678803,0.0133152
601,71.7935,89.3529,110.451,0.731967,0.00463858
602,71.8451,89.3529,110.451,0.732773,0.000718754
603,72.0051,89.3529,110.451,0.81599,0.002228
604,71.7521,89.3529,110.451,0.602892,-0.00351435
605,71.2924,89.3529,110.451,0.48265,-0.00640588
606,70.713,89.3529,110.451,0.377663,-0.00812704
607,68.5559,89.3529,110.451,0.3499,-0.030506
608,68.9465,89.3529,110.451,0.509132,0.00569824
609,67.7007,96.8693,118.696,0.43457,-0.0180693
610,68.817,96.8693,118.696,0.577029,0.0164884
611,68.0592,96.8693,118.696,0.423934,-0.0110114
612,67.8381,96.8693,118.696,0.419631,-0.00324862
613,68.7698,96.8693,118.696,0.537157,0.0137336
614,67.5007,96.8693,118.696,0.458805,-0.0184537
615,67.4042,96.8693,118.696,0.385482,-0.00143009
616,67.4706,96.8693,118.696,0.517725,0.000984526
617,67.5973,102.733,124.515,0.615798,0.00187909
618,67.1161,102.733,124.515,0.439194,-0.00711928
619,67.0171,102.733,124.515,0.330637,-0.00147515
620,67.8583,102.733,124.515,0.496858,0.0125525
621,67.1052,102.733,124.515,0.402142,-0.0110978
622,69.3342,109.51,132.067,0.509614,0.0332156
623,69.6689,96.6339,118.613,0.617774,0.00482726
624,69.9383,96.6339,118.613,0.637691,0.00386679
625,69.2858,96.6339,118.613,0.496446,-0.00932982
626,68.3966,96.6339,118.613,0.371759,-0.0128326
627,69.1153,106.272,129.194,0.541354,0.0105078
628,68.5544,99.4368,121.429,0.430251,-0.00811595
629,68.4306,107.192,129.948,0.372563,-0.00180615
630,69.2618,107.727,130.798,0.5027,0.0121471
631,69.0995,107.727,130.798,0.405794,-0.00234343
632,69.2893,107.727,130.798,0.556227,0.0027462
633,71.1676,107.727,130.798,0.67956,0.027109
634,72.814,107.727,130.798,0.729732,0.0231338
635,73.8848,107.727,130.798,0.746639,0.0147057
636,74.5793,107.727,130.798,0.800793,0.00939964
637,76.6152,107.727,130.798,0.711242,0.0272987
638,77.8978,107.727,130.798,0.698635,0.016741
639,78.0317,76.3551,97.975,0.724743,0.00171861
640,77.782,76.3551,97.975,0.539827,-0.00320014
641,77.6834,76.3551,97.975,0.450497,-0.00126764
642,77.2761,81.1729,104.338,0.388232,-0.00524303
643,77.3483,81.1729,104.338,0.462891,0.000933815
644,78.2591,81.1729,104.338,0.578053,0.0117764
645,78.702,76.4756,99.0438,0.649588,0.0056596
646,79.3745,76.4756,99.0438,0.680155,0.00854449
647,81.4699,76.4756,99.0438,0.678631,0.0263983
648,82.5083,76.4756,99.0438,0.708979,0.0127456
649,85.4921,59.4391,81.1166,0.683904,0.0361643
650,85.7192,44.4699,66.2993,0.739236,0.00265692
651,86.7667,44.4699,66.2993,0.746859,0.0122193
652,87.0551,44.4699,66.2993,0.796682,0.00332444
653,87.6698,35.0317,55.6485,0.787489,0.0070602
654,85.5947,35.0317,55.6485,0.605477,-0.0236685
655,86.4369,35.0317,55.6485,0.663598,0.00983947
656,85.9842,39.289,61.5419,0.490112,-0.00523839
657,86.6249,39.289,61.5419,0.56093,0.00745217
658,86.9681,39.289,61.5419,0.62262,0.00396117
659,86.6787,39.289,61.5419,0.511157,-0.00332697
660,85.6234,39.289,61.5419,0.416527,-0.0121747
661,87.1752,39.289,61.5419,0.514898,0.0181235
662,87.9196,33.3027,57.6104,0.656719,0.00853838
663,90.0677,33.3027,57.6104,0.742793,0.0244326
664,89.2096,33.3027,57.6104,0.598194,-0.00952661
665,90.5942,33.3027,57.6104,0.652403,0.0155204
666,89.3518,33.3027,57.6104,0.47601,-0.0137139
667,89.3149,22.6236,47.5509,0.425909,-0.00041262
668,89.6814,22.6236,47.5509,0.548646,0.00410279
669,90.7863,22.6236,47.5509,0.635005,0.0123201
670,89.9745,22.6236,47.5509,0.480571,-0.00894105
671,89.6195,22.6236,47.5509,0.443164,-0.00394627
672,88.9264,20.5622,45.9616,0.386317,-0.00773349
673,87.6775,20.5622,45.9616,0.383299,-0.0140443
674,87.7787,20.5622,45.9616,0.518521,0.00115395
675,87.688,26.5179,50.9765,0.403319,-0.00103264
676,87.3143,26.5179,50.9765,0.308225,-0.00426135
677,87.4275,38.1524,65.5503,0.490276,0.00129547
678,85.9708,38.1524,65.5503,0.390721,-0.0166612
679,84.0246,38.1524,65.5503,0.32817,-0.0226379
680,84.9513,38.1524,65.5503,0.472454,0.0110284
681,86.4698,47.7639,73.1451,0.558168,0.0178749
682,87.3318,35.5359,59.738,0.571473,0.00996961
683,85.2754,35.5359,59.738,0.398892,-0.0235478
684,85.1566,35.5359,59.738,0.271888,-0.00139259
685,86.1666,56.2644,84.8683,0.434101,0.0118609
686,83.9884,56.2644,84.8683,0.310097,-0.02528
687,82.7659,56.2644,84.8683,0.251703,-0.0145552
688,82.5696,56.2644,84.8683,0.214572,-0.00237119
689,82.2004,56.2644,84.8683,0.134972,-0.00447198
690,80.5929,56.2644,84.8683,0.127267,-0.019556
691,81.0565,92.8543,123.157,0.352047,0.00575283
692,78.7482,82.6788,110.455,0.328432,-0.0284778
693,78.5829,109.065,137.084,0.268274,-0.00209843
